 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,1.032,46.522,16.667,80.111,-51.009,0.237,7.402,1227,1372,128.991,0.000,0.000,0.000,NaN,7.402
2,1.239,70.343,28.994,112.947,40.601,0.199,8.841,1072,1259,40.601,0.000,0.000,0.000,NaN,8.841
3,0.976,86.997,29.235,171.000,-48.180,0.251,6.985,1459,1389,131.820,0.000,0.000,0.000,NaN,6.985
4,1.070,53.168,23.500,83.250,-22.932,0.225,7.735,1196,1637,157.068,0.000,0.000,0.000,NaN,7.735
5,0.863,40.999,9.569,160.436,-45.909,0.291,6.103,936,1705,134.091,4.441E-16,0.000,0.000,NaN,6.103
6,1.088,56.810,21.105,118.000,-24.775,0.222,7.845,868,1559,155.225,4.441E-16,0.000,0.000,NaN,7.845
7,0.769,66.591,15.000,146.500,-123.690,0.328,5.433,1219,1860,56.310,0.000,0.000,0.000,NaN,5.433
8,0.919,84.629,40.917,144.333,-109.573,0.270,6.542,1281,1900,70.427,0.000,0.000,0.000,NaN,6.542
9,0.694,60.196,19.284,175.512,-128.157,0.367,4.878,1463,1565,51.843,0.000,0.000,0.000,NaN,4.878
10,1.013,54.307,8.100,122.000,-146.611,0.244,7.219,1627,1528,33.389,4.441E-16,0.000,0.000,NaN,7.219
11,0.732,49.649,17.061,79.537,-33.275,0.335,5.243,1607,1419,146.725,0.000,0.000,0.000,NaN,5.243
12,0.901,65.011,32.042,110.852,-23.839,0.273,6.440,1645,1412,156.161,0.000,0.000,0.000,NaN,6.440
13,1.032,45.556,19.889,98.111,-6.340,0.234,7.443,1721,1595,173.660,0.000,0.000,0.000,NaN,7.443
14,1.107,77.202,29.414,133.517,-4.927,0.219,7.975,1911,1747,175.073,0.000,0.000,0.000,NaN,7.975
15,0.938,23.463,8.122,46.000,-21.371,0.258,6.767,1657,1789,158.629,0.000,0.000,0.000,NaN,6.767
16,0.938,54.524,19.800,98.845,-26.565,0.260,6.739,1592,2083,153.435,0.000,0.000,0.000,NaN,6.739
17,1.239,80.782,22.028,158.719,-34.418,0.194,8.967,1345,2040,145.582,0.000,0.000,0.000,NaN,8.967
18,0.976,46.952,25.660,97.000,18.435,0.255,6.931,1864,1984,18.435,0.000,0.000,0.000,NaN,6.931
19,0.995,64.595,24.704,130.564,-23.629,0.243,7.177,267,1205,156.371,0.000,0.000,0.000,NaN,7.177
20,1.013,34.219,5.415,98.642,-6.459,0.239,7.307,516,1346,173.541,1.110E-16,0.000,0.000,NaN,7.307
21,1.107,64.232,17.707,203.075,-35.882,0.220,7.946,937,992,144.118,0.000,0.000,0.000,NaN,7.946
22,0.919,60.350,24.333,173.000,-38.290,0.263,6.632,783,888,141.710,0.000,0.000,0.000,NaN,6.632
23,1.220,81.199,30.375,160.562,-119.745,0.196,8.835,867,1336,60.255,0.000,0.000,0.000,NaN,8.835
24,1.145,58.136,17.188,111.800,-40.914,0.216,8.157,711,1285,139.086,0.000,0.000,0.000,NaN,8.157
25,0.901,39.940,15.574,97.528,-47.564,0.268,6.496,379,1154,132.436,0.000,0.000,0.000,NaN,6.496
26,0.844,85.181,47.000,119.314,-108.435,0.289,6.065,613,1610,71.565,0.000,0.000,0.000,NaN,6.065
27,0.788,76.026,20.918,196.000,-15.751,0.321,5.551,533,1482,164.249,2.220E-16,0.000,0.000,NaN,5.551
