 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
87,1.134,46.104,7.591,110.136,-82.235,0.287,7.049,2668,2746,97.765,0.000,0.000,0.000,NaN,7.049
88,1.235,87.421,40.000,136.889,-24.444,0.264,7.672,2547,2863,155.556,4.441E-16,0.000,0.000,NaN,7.672
89,1.260,49.942,10.718,145.416,-23.962,0.259,7.817,2495,2879,156.038,0.000,0.000,0.000,NaN,7.817
90,1.285,39.577,2.000,91.688,139.899,0.260,7.886,2386,2855,139.899,4.441E-16,0.000,0.000,NaN,7.886
91,1.159,28.725,4.400,89.133,-1.273,0.285,7.145,2587,3018,178.727,0.000,0.000,0.000,NaN,7.145
92,1.134,34.640,11.959,79.000,-35.838,0.287,7.049,2838,2921,144.162,0.000,0.000,0.000,NaN,7.049
93,1.008,72.050,37.099,146.101,-36.573,0.337,6.127,2848,2762,143.427,0.000,0.000,0.000,NaN,6.127
94,1.083,47.081,5.000,91.918,-35.218,0.312,6.606,2982,2663,144.782,0.000,0.000,0.000,NaN,6.606
95,1.260,38.426,3.700,84.006,-34.992,0.264,7.750,2593,2325,145.008,0.000,0.000,0.000,NaN,7.750
96,1.109,40.282,0.443,93.661,-21.801,0.298,6.838,2607,2373,158.199,0.000,0.000,0.000,NaN,6.838
97,0.907,38.309,16.122,65.918,-100.008,0.380,5.480,2735,2621,79.992,1.110E-16,0.000,0.000,NaN,5.480
98,1.184,53.932,12.497,144.000,-68.429,0.276,7.339,3163,2789,111.571,0.000,0.000,0.000,NaN,7.339
99,1.058,44.139,8.189,97.334,-19.747,0.307,6.577,3021,2877,160.253,0.000,0.000,0.000,NaN,6.577
100,0.983,49.788,27.053,88.842,-6.009,0.336,6.065,2761,3080,173.991,1.110E-16,0.000,0.000,NaN,6.065
101,1.184,5.555,0.000,21.741,-36.119,0.282,7.270,3276,2980,143.881,0.000,0.000,0.000,NaN,7.270
102,1.184,18.715,0.000,90.000,-49.399,0.278,7.317,3293,2879,130.601,0.000,0.000,0.000,NaN,7.317
103,1.184,5.675,0.000,24.860,-47.643,0.279,7.303,3370,2986,132.357,0.000,0.000,0.000,NaN,7.303
104,1.285,14.432,0.725,39.000,-49.899,0.260,7.886,3477,3016,130.101,0.000,0.000,0.000,NaN,7.886
105,0.705,37.190,9.453,68.000,-51.009,0.482,4.289,3626,2854,128.991,0.000,0.000,0.000,NaN,4.289
106,0.983,7.941,0.000,28.749,-50.389,0.346,5.975,3626,3142,129.611,0.000,0.000,0.000,NaN,5.975
107,1.335,8.766,0.000,24.000,-43.452,0.243,8.309,3533,3183,136.548,8.882E-16,0.000,0.000,NaN,8.309
108,1.487,13.168,0.087,38.421,-47.793,0.220,9.215,3131,3335,132.207,0.000,0.000,0.000,NaN,9.215
109,1.361,6.904,0.000,37.557,-30.411,0.239,8.466,3575,3503,149.589,0.000,0.000,0.000,NaN,8.466
110,1.310,8.056,0.000,49.308,-28.072,0.251,8.095,3514,3406,151.928,0.000,0.000,0.000,NaN,8.095
111,1.436,18.019,0.571,52.500,-21.991,0.228,8.902,3283,3582,158.009,0.000,0.000,0.000,NaN,8.902
112,1.209,7.267,0.000,23.435,-22.714,0.278,7.399,3186,3498,157.286,4.441E-16,0.000,0.000,NaN,7.399
113,0.882,1.624,0.000,8.412,-83.290,0.375,5.434,3716,3426,96.710,0.000,0.000,0.000,NaN,5.434
114,1.209,16.001,0.000,197.000,-114.944,0.268,7.528,3892,3398,65.056,0.000,0.000,0.000,NaN,7.528
115,1.008,2.124,0.000,13.053,-58.782,0.338,6.125,3667,3531,121.218,0.000,0.000,0.000,NaN,6.125
116,1.260,7.360,0.000,35.000,-28.142,0.264,7.740,3671,3623,151.858,0.000,0.000,0.000,NaN,7.740
117,0.932,4.297,0.000,35.000,-90.000,0.359,5.714,3580,3776,90.000,0.000,0.000,0.000,NaN,5.714
118,1.109,16.959,3.246,52.194,-49.686,0.295,6.870,3376,3663,130.314,0.000,0.000,0.000,NaN,6.870
119,0.957,6.036,0.062,21.190,-57.171,0.351,5.856,3504,3556,122.829,4.441E-16,0.000,0.000,NaN,5.856
120,1.512,9.167,0.102,35.261,-62.560,0.220,9.300,3839,3527,117.440,0.000,0.000,0.000,NaN,9.300
121,1.461,50.003,9.341,109.809,-59.381,0.225,9.038,2435,3408,120.619,0.000,0.000,0.000,NaN,9.038
122,1.209,7.049,5.912E-12,21.000,-59.036,0.277,7.404,2882,3804,120.964,0.000,0.000,0.000,NaN,7.404
123,1.260,29.627,1.630,70.578,-35.942,0.257,7.842,2935,3232,144.058,0.000,0.000,0.000,NaN,7.842
124,0.806,16.176,3.153,31.000,-50.194,0.412,4.959,3020,3315,129.806,0.000,0.000,0.000,NaN,4.959
