 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
65,2.023,49.564,0.818,203.000,-83.089,0.387,8.108,1313,1261,96.911,0.000,0.000,0.000,NaN,8.108
66,1.547,61.838,19.312,216.000,-66.501,0.519,6.117,1479,1299,113.499,4.441E-16,0.000,0.000,NaN,6.117
67,1.785,55.787,0.358,217.000,-53.531,0.461,6.976,1405,1394,126.469,0.000,0.000,0.000,NaN,6.976
68,1.666,42.721,3.538,200.000,-68.199,0.485,6.567,1474,1396,111.801,4.441E-16,0.000,0.000,NaN,6.567
69,1.904,16.725,1.890,46.994,-106.699,0.410,7.639,1371,1485,73.301,0.000,0.000,0.000,NaN,7.639
70,2.320,52.636,6.776,167.723,-23.199,0.338,9.288,1288,1444,156.801,0.000,0.000,0.000,NaN,9.288
71,2.617,32.055,3.607,76.660,-122.574,0.303,10.420,1226,1453,57.426,0.000,0.000,0.000,NaN,10.420
72,2.023,37.770,6.334,154.000,-52.431,0.397,8.001,1310,1400,127.569,0.000,0.000,0.000,NaN,8.001
73,1.963,16.132,0.258,55.000,-36.158,0.400,7.854,1442,1498,143.842,0.000,0.000,0.000,NaN,7.854
74,1.725,27.793,0.000,203.000,-90.000,0.465,6.829,1299,1535,90.000,0.000,0.000,0.000,NaN,6.829
75,1.368,31.860,2.000,66.455,-30.069,0.600,5.355,1163,1239,149.931,4.441E-16,0.000,0.000,NaN,5.355
76,1.785,37.095,1.784,170.224,-49.185,0.446,7.090,1096,1401,130.815,0.000,0.000,0.000,NaN,7.090
77,1.666,36.835,0.333,135.510,28.443,0.472,6.657,1154,1622,28.443,0.000,0.000,0.000,NaN,6.657
78,1.487,30.113,10.750,61.000,-135.000,0.544,5.864,1190,1629,45.000,0.000,0.000,0.000,NaN,5.864
79,2.082,31.659,8.308,104.000,-130.236,0.379,8.307,1254,1604,49.764,0.000,0.000,0.000,NaN,8.307
80,1.666,30.120,3.252,158.000,-72.897,0.475,6.635,1108,1542,107.103,0.000,0.000,0.000,NaN,6.635
81,1.547,23.437,9.095E-12,63.000,-118.610,0.520,6.112,1406,1705,61.390,0.000,0.000,0.000,NaN,6.112
82,1.428,6.670,0.983,18.000,-142.125,0.580,5.562,1464,1600,37.875,0.000,0.000,0.000,NaN,5.562
83,1.725,44.384,0.911,179.000,-37.694,0.471,6.781,1298,1777,142.306,0.000,0.000,0.000,NaN,6.781
84,1.963,21.958,0.199,117.000,-133.727,0.409,7.763,1526,1643,46.273,4.441E-16,0.000,0.000,NaN,7.763
85,1.785,71.710,17.446,154.644,-33.690,0.453,7.035,1578,1634,146.310,0.000,0.000,0.000,NaN,7.035
86,1.428,60.477,11.981,145.000,-140.194,0.549,5.715,1500,1613,39.806,0.000,0.000,0.000,NaN,5.715
87,1.904,78.537,10.560,204.049,-42.397,0.415,7.596,1564,1791,137.603,4.441E-16,0.000,0.000,NaN,7.596
88,1.368,38.599,2.479,186.000,-111.801,0.623,5.254,1630,1805,68.199,0.000,0.000,0.000,NaN,5.254
89,1.130,36.287,11.778,85.000,-116.565,0.746,4.363,1644,1845,63.435,0.000,0.000,0.000,NaN,4.363
90,1.904,33.123,1.032,164.581,1.848,0.418,7.565,1646,1929,1.848,0.000,0.000,0.000,NaN,7.565
91,2.142,53.956,8.950,161.035,-137.291,0.361,8.630,1664,1961,42.709,8.882E-16,0.000,0.000,NaN,8.630
92,1.606,34.780,1.769,119.000,-40.365,0.492,6.402,1418,1907,139.635,4.441E-16,0.000,0.000,NaN,6.402
93,1.666,57.959,16.790,178.000,-19.799,0.498,6.481,1532,1866,160.201,0.000,0.000,0.000,NaN,6.481
94,1.785,93.597,22.985,237.000,-128.047,0.442,7.123,1574,1868,51.953,0.000,0.000,0.000,NaN,7.123
95,1.844,45.210,4.160,179.000,-53.130,0.433,7.317,1422,1827,126.870,0.000,0.000,0.000,NaN,7.317
96,2.023,60.653,9.424,166.364,-91.736,0.392,8.052,1241,1860,88.264,0.000,0.000,0.000,NaN,8.052
97,1.368,56.621,16.339,123.000,-133.152,0.601,5.349,1359,1891,46.848,4.441E-16,0.000,0.000,NaN,5.349
98,1.130,42.988,12.111,171.000,-102.529,0.702,4.497,1467,1913,77.471,0.000,0.000,0.000,NaN,4.497
99,1.606,22.041,7.000,92.000,-122.471,0.499,6.360,1295,1981,57.529,0.000,0.000,0.000,NaN,6.360
100,1.428,38.866,3.223,89.728,-131.424,0.587,5.530,1389,2022,48.576,0.000,0.000,0.000,NaN,5.530
101,1.725,9.032,2.274E-13,45.000,-124.824,0.464,6.834,994,1893,55.176,0.000,0.000,0.000,NaN,6.834
102,1.963,38.697,2.438,130.000,-60.255,0.399,7.866,1078,1863,119.745,0.000,0.000,0.000,NaN,7.866
103,1.606,32.923,11.651,65.470,-110.556,0.516,6.252,1098,1812,69.444,4.441E-16,0.000,0.000,NaN,6.252
104,1.487,29.960,13.417,66.000,-14.621,0.556,5.797,1103,1736,165.379,0.000,0.000,0.000,NaN,5.797
105,1.130,30.727,2.685,82.000,-51.843,0.753,4.343,1069,1813,128.157,0.000,0.000,0.000,NaN,4.343
106,1.904,6.744,0.000,51.000,-9.162,0.408,7.659,1003,1639,170.838,0.000,0.000,0.000,NaN,7.659
107,2.439,26.155,0.360,85.000,-113.385,0.317,9.832,951,1695,66.615,0.000,0.000,0.000,NaN,9.832
108,1.606,55.499,3.000,137.300,-105.642,0.503,6.332,965,1825,74.358,2.220E-16,0.000,0.000,NaN,6.332
109,1.963,36.069,5.172,97.000,-46.273,0.409,7.763,936,1901,133.727,0.000,0.000,0.000,NaN,7.763
110,1.963,52.052,5.344,119.859,-110.136,0.406,7.793,882,1756,69.864,0.000,0.000,0.000,NaN,7.793
111,1.904,45.209,11.200,158.031,-50.194,0.412,7.620,926,1671,129.806,0.000,0.000,0.000,NaN,7.620
112,1.368,38.893,5.033,93.793,-159.146,0.572,5.481,871,1835,20.854,0.000,0.000,0.000,NaN,5.481
113,1.368,29.545,0.000,80.000,-39.472,0.596,5.371,1057,1901,140.528,0.000,0.000,0.000,NaN,5.371
114,1.487,53.252,12.000,144.778,-19.179,0.530,5.939,999,2007,160.821,0.000,0.000,0.000,NaN,5.939
115,2.082,41.894,9.080,101.488,31.827,0.378,8.325,1074,2046,31.827,4.441E-16,0.000,0.000,NaN,8.325
116,1.487,82.116,24.375,210.000,-34.992,0.527,5.954,918,2015,145.008,0.000,0.000,0.000,NaN,5.954
117,1.547,42.931,4.037,99.142,-41.820,0.503,6.218,974,1913,138.180,0.000,0.000,0.000,NaN,6.218
118,1.368,26.905,2.678,94.017,-35.838,0.586,5.416,938,1868,144.162,4.441E-16,0.000,0.000,NaN,5.416
119,1.011,56.735,1.750,200.000,14.036,0.785,4.023,887,1696,14.036,0.000,0.000,0.000,NaN,4.023
120,1.428,18.391,2.034,42.471,15.255,0.580,5.562,704,1263,15.255,0.000,0.000,0.000,NaN,5.562
121,1.606,36.051,6.379,174.000,-13.496,0.513,6.271,895,1271,166.504,2.220E-16,0.000,0.000,NaN,6.271
122,1.071,29.775,3.059,90.412,-13.241,0.742,4.260,1033,1251,166.759,0.000,0.000,0.000,NaN,4.260
123,1.428,29.538,5.953,73.851,-43.264,0.553,5.694,968,1327,136.736,0.000,0.000,0.000,NaN,5.694
124,1.487,33.217,3.729,86.667,22.249,0.556,5.797,921,1385,22.249,0.000,0.000,0.000,NaN,5.797
125,1.368,33.435,4.091,111.909,-10.305,0.578,5.454,1031,1487,169.695,1.110E-16,0.000,0.000,NaN,5.454
126,1.368,31.430,3.545,135.523,-30.069,0.600,5.355,988,1541,149.931,4.441E-16,0.000,0.000,NaN,5.355
127,1.666,1.360,0.000,11.000,-38.991,0.482,6.590,728,1404,141.009,0.000,0.000,0.000,NaN,6.590
128,1.428,55.795,10.304,137.000,-4.970,0.566,5.631,829,1441,175.030,0.000,0.000,0.000,NaN,5.631
129,1.487,42.250,9.000,95.000,-60.255,0.537,5.899,793,1440,119.745,4.441E-16,0.000,0.000,NaN,5.899
130,2.142,49.413,10.000,152.000,-36.870,0.369,8.537,937,1406,143.130,0.000,0.000,0.000,NaN,8.537
131,2.082,20.362,0.000,120.000,-29.539,0.370,8.410,815,1304,150.461,4.441E-16,0.000,0.000,NaN,8.410
132,1.725,30.512,4.536,84.000,-14.534,0.468,6.803,726,1339,165.466,0.000,0.000,0.000,NaN,6.803
133,1.428,25.517,1.471,78.059,12.804,0.593,5.503,734,1207,12.804,2.220E-16,0.000,0.000,NaN,5.503
134,1.666,43.671,7.671,112.111,-38.991,0.482,6.590,702,1198,141.009,0.000,0.000,0.000,NaN,6.590
135,1.368,42.394,6.223,126.967,-13.392,0.620,5.265,799,1218,166.608,0.000,0.000,0.000,NaN,5.265
136,1.130,34.974,3.167,67.667,-9.462,0.717,4.451,969,1489,170.538,1.110E-16,0.000,0.000,NaN,4.451
137,1.130,32.762,1.494,77.000,-16.390,0.760,4.322,857,1534,163.610,0.000,0.000,0.000,NaN,4.322
138,1.249,41.606,14.880,105.800,-23.962,0.680,4.804,764,1538,156.038,0.000,0.000,0.000,NaN,4.804
139,1.547,67.263,11.518,170.978,-18.435,0.511,6.170,610,1072,161.565,0.000,0.000,0.000,NaN,6.170
140,2.499,27.048,4.785,113.000,-46.975,0.313,10.009,732,1087,133.025,0.000,0.000,0.000,NaN,10.009
141,2.023,48.525,8.667,192.826,21.161,0.387,8.108,676,1029,21.161,0.000,0.000,0.000,NaN,8.108
142,1.309,63.882,1.510,139.891,-64.654,0.625,5.128,732,857,115.346,0.000,0.000,0.000,NaN,5.128
143,1.249,19.708,1.501E-11,50.640,-23.962,0.680,4.804,656,1005,156.038,0.000,0.000,0.000,NaN,4.804
144,1.249,24.712,3.950,79.000,-30.466,0.678,4.811,637,957,149.534,0.000,0.000,0.000,NaN,4.811
145,1.309,23.699,1.000,41.918,-31.430,0.621,5.145,597,868,148.570,0.000,0.000,0.000,NaN,5.145
146,1.725,60.885,7.796,146.500,-12.529,0.476,6.746,552,851,167.471,0.000,0.000,0.000,NaN,6.746
147,1.428,44.725,4.000,113.707,-12.804,0.593,5.503,606,979,167.196,0.000,0.000,0.000,NaN,5.503
148,1.428,34.137,8.474,91.871,-30.964,0.554,5.689,627,1031,149.036,4.441E-16,0.000,0.000,NaN,5.689
149,1.487,28.668,4.500,90.000,-19.179,0.530,5.939,667,1133,160.821,0.000,0.000,0.000,NaN,5.939
150,1.547,46.635,3.424,130.240,-26.565,0.540,5.999,823,1066,153.435,0.000,0.000,0.000,NaN,5.999
151,1.725,66.406,4.000,205.786,-30.256,0.472,6.777,854,1164,149.744,0.000,0.000,0.000,NaN,6.777
152,2.082,19.940,0.769,102.000,-37.875,0.376,8.343,642,1146,142.125,0.000,0.000,0.000,NaN,8.343
153,1.666,33.192,2.185,122.000,-28.443,0.472,6.657,1021,1029,151.557,8.882E-16,0.000,0.000,NaN,6.657
154,1.606,36.610,2.888,77.373,-38.660,0.517,6.247,929,1306,141.340,4.441E-16,0.000,0.000,NaN,6.247
155,1.785,30.929,11.716,102.000,-75.964,0.453,7.039,883,1358,104.036,0.000,0.000,0.000,NaN,7.039
156,2.023,37.854,2.846,110.000,-49.970,0.401,7.963,768,1324,130.030,0.000,0.000,0.000,NaN,7.963
157,1.844,53.631,7.360,155.987,-105.422,0.430,7.337,729,1317,74.578,0.000,0.000,0.000,NaN,7.337
158,1.785,96.854,5.828,219.690,-99.782,0.435,7.178,755,1273,80.218,2.220E-16,0.000,0.000,NaN,7.178
159,1.666,54.903,12.652,226.000,-36.027,0.475,6.635,713,1118,143.973,0.000,0.000,0.000,NaN,6.635
160,1.428,39.292,10.696,117.000,7.431,0.561,5.657,1402,1139,7.431,0.000,0.000,0.000,NaN,5.657
161,2.677,48.398,8.099,200.000,-35.838,0.287,10.831,1414,1203,144.162,8.882E-16,0.000,0.000,NaN,10.831
162,1.785,76.667,5.000,191.000,0.000,0.448,7.073,1381,1323,0.000,0.000,0.000,0.000,NaN,7.073
163,1.904,61.483,16.599,122.181,-20.772,0.418,7.565,1460,1806,159.228,4.441E-16,0.000,0.000,NaN,7.565
164,1.844,46.068,8.333,110.200,29.982,0.432,7.321,1472,1767,29.982,0.000,0.000,0.000,NaN,7.321
165,1.844,76.395,9.000,162.156,-34.216,0.426,7.374,1271,1704,145.784,8.882E-16,0.000,0.000,NaN,7.374
166,2.201,56.476,2.778,123.769,-9.728,0.369,8.661,1577,2011,170.272,0.000,0.000,0.000,NaN,8.661
167,1.904,53.549,8.335,147.000,-29.055,0.422,7.533,800,1523,150.945,4.441E-16,0.000,0.000,NaN,7.533
168,1.487,63.433,22.889,126.656,-36.384,0.564,5.756,793,1473,143.616,0.000,0.000,0.000,NaN,5.756
169,1.309,45.680,5.111,152.000,-19.290,0.616,5.168,816,1567,160.710,0.000,0.000,0.000,NaN,5.168
170,1.547,39.150,0.504,85.350,-48.180,0.503,6.218,862,1559,131.820,0.000,0.000,0.000,NaN,6.218
171,1.785,94.642,40.059,178.168,-59.036,0.444,7.111,816,1650,120.964,0.000,0.000,0.000,NaN,7.111
172,1.249,39.131,3.500,135.000,-66.038,0.680,4.804,846,1653,113.962,2.220E-16,0.000,0.000,NaN,4.804
173,2.320,55.489,10.907,154.709,-26.565,0.339,9.272,961,880,153.435,0.000,0.000,0.000,NaN,9.272
174,2.439,78.687,3.000,172.134,-123.690,0.328,9.673,978,1016,56.310,0.000,0.000,0.000,NaN,9.673
175,1.606,17.468,3.775,71.178,-67.380,0.502,6.341,968,1083,112.620,0.000,0.000,0.000,NaN,6.341
176,1.547,43.615,9.318,112.918,-131.820,0.503,6.218,932,1070,48.180,0.000,0.000,0.000,NaN,6.218
177,1.666,85.410,17.111,219.951,-41.987,0.486,6.563,1078,334,138.013,0.000,0.000,0.000,NaN,6.563
178,1.725,74.466,6.000,155.082,-45.000,0.456,6.899,1108,356,135.000,0.000,0.000,0.000,NaN,6.899
179,1.904,67.106,11.223,131.753,-125.754,0.424,7.514,1132,440,54.246,0.000,0.000,0.000,NaN,7.514
180,1.547,91.669,32.464,179.459,-58.241,0.536,6.024,1175,353,121.759,0.000,0.000,0.000,NaN,6.024
181,2.142,86.047,8.393,236.618,-61.260,0.362,8.623,1022,277,118.740,4.441E-16,0.000,0.000,NaN,8.623
182,1.666,55.760,16.000,142.332,-126.027,0.475,6.635,1050,324,53.973,0.000,0.000,0.000,NaN,6.635
183,1.785,27.452,6.207,64.103,-93.945,0.446,7.090,962,223,86.055,0.000,0.000,0.000,NaN,7.090
184,1.666,24.828,0.000,64.000,-85.764,0.480,6.603,926,265,94.236,0.000,0.000,0.000,NaN,6.603
185,2.439,53.138,6.200,150.000,178.568,0.322,9.759,1020,504,178.568,0.000,0.000,0.000,NaN,9.759
186,2.023,70.047,22.901,167.579,-43.781,0.387,8.108,894,367,136.219,0.000,0.000,0.000,NaN,8.108
187,2.261,36.709,3.210,171.000,-105.524,0.342,9.113,975,204,74.476,0.000,0.000,0.000,NaN,9.113
188,2.142,49.433,14.517,147.732,-42.709,0.361,8.630,815,242,137.291,0.000,0.000,0.000,NaN,8.630
189,3.093,38.918,1.948,174.893,-135.000,0.252,12.417,651,160,45.000,0.000,0.000,0.000,NaN,12.417
190,1.785,43.726,7.665,80.350,-139.185,0.446,7.090,625,331,40.815,0.000,0.000,0.000,NaN,7.090
191,1.249,27.434,8.000,74.000,-23.962,0.680,4.804,511,250,156.038,0.000,0.000,0.000,NaN,4.804
192,1.963,43.499,1.379,116.645,-20.136,0.406,7.793,384,329,159.864,0.000,0.000,0.000,NaN,7.793
193,2.201,45.099,6.229,118.188,-54.090,0.363,8.733,402,357,125.910,0.000,0.000,0.000,NaN,8.733
194,2.261,50.547,15.622,146.081,-94.635,0.347,9.054,447,406,85.365,0.000,0.000,0.000,NaN,9.054
195,2.023,74.445,25.000,185.455,-47.490,0.403,7.941,444,264,132.510,0.000,0.000,0.000,NaN,7.941
196,1.844,19.066,9.550E-13,93.000,-47.726,0.441,7.252,375,220,132.274,4.441E-16,0.000,0.000,NaN,7.252
197,1.606,37.472,0.645,93.965,-22.620,0.502,6.341,439,106,157.380,0.000,0.000,0.000,NaN,6.341
198,1.666,30.143,2.877,102.000,-48.013,0.486,6.563,579,51,131.987,0.000,0.000,0.000,NaN,6.563
199,1.844,76.612,17.800,207.222,-122.619,0.442,7.239,542,351,57.381,0.000,0.000,0.000,NaN,7.239
200,1.309,40.348,7.000,111.000,-16.699,0.634,5.093,495,334,163.301,0.000,0.000,0.000,NaN,5.093
201,2.201,37.126,12.000,77.000,-138.366,0.356,8.811,434,44,41.634,0.000,0.000,0.000,NaN,8.811
202,2.677,38.886,6.870,100.866,-64.592,0.288,10.801,299,33,115.408,0.000,0.000,0.000,NaN,10.801
203,1.547,34.549,0.000,80.240,-92.291,0.522,6.102,404,45,87.709,2.776E-17,0.000,0.000,NaN,6.102
204,2.201,100.580,43.722,198.259,-74.055,0.351,8.878,371,34,105.945,4.441E-16,0.000,0.000,NaN,8.878
205,1.844,39.798,8.920,115.000,-118.301,0.447,7.202,546,188,61.699,0.000,0.000,0.000,NaN,7.202
206,1.309,55.134,24.109,107.796,-31.430,0.621,5.145,552,221,148.570,0.000,0.000,0.000,NaN,5.145
207,1.428,37.981,15.129,108.000,-107.650,0.566,5.631,491,110,72.350,0.000,0.000,0.000,NaN,5.631
208,1.368,40.668,11.260,113.000,-24.228,0.601,5.349,414,207,155.772,0.000,0.000,0.000,NaN,5.349
209,1.666,38.971,7.376,200.000,-31.329,0.485,6.567,470,517,148.671,0.000,0.000,0.000,NaN,6.567
210,1.547,72.619,22.840,148.243,-43.363,0.533,6.039,486,464,136.637,0.000,0.000,0.000,NaN,6.039
211,0.952,80.756,29.511,154.000,-42.274,0.910,3.626,422,457,137.726,0.000,0.000,0.000,NaN,3.626
212,1.190,45.951,15.000,83.526,-115.201,0.712,4.583,630,656,64.799,0.000,0.000,0.000,NaN,4.583
213,1.963,40.612,9.625,114.627,-43.727,0.409,7.763,499,659,136.273,4.441E-16,0.000,0.000,NaN,7.763
214,1.785,55.376,9.452,162.206,-53.531,0.461,6.976,532,665,126.469,0.000,0.000,0.000,NaN,6.976
215,1.368,38.526,5.917,102.529,-111.801,0.623,5.254,471,633,68.199,0.000,0.000,0.000,NaN,5.254
216,1.785,49.432,2.911,129.314,-56.310,0.453,7.035,448,545,123.690,0.000,0.000,0.000,NaN,7.035
