 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
88,1.630,52.690,13.653,88.912,-56.768,0.376,7.377,316.000,48.000,123.232,4.441E-16,0.000,0.000,NaN,7.377
89,1.901,34.197,0.000,79.341,-83.047,0.309,8.788,501.000,308.000,96.953,0.000,0.000,0.000,NaN,8.788
90,1.630,48.528,17.891,84.280,-66.371,0.371,7.432,343.000,381.000,113.629,0.000,0.000,0.000,NaN,7.432
91,1.449,55.792,20.624,96.250,-50.194,0.412,6.647,311.000,402.000,129.806,0.000,0.000,0.000,NaN,6.647
92,1.539,66.706,27.000,88.000,-90.000,0.392,7.021,243.000,231.000,90.000,0.000,0.000,0.000,NaN,7.021
93,1.268,44.104,14.691,102.000,-41.987,0.486,5.725,183.000,160.000,138.013,4.441E-16,0.000,0.000,NaN,5.725
94,1.856,44.322,11.700,85.000,-67.932,0.323,8.495,142.000,316.000,112.068,0.000,0.000,0.000,NaN,8.495
95,1.449,72.139,37.444,109.629,-45.000,0.415,6.620,145.000,100.000,135.000,0.000,0.000,0.000,NaN,6.620
96,1.901,30.932,1.406,126.000,-22.834,0.310,8.773,477.000,326.000,157.166,0.000,0.000,0.000,NaN,8.773
97,1.449,46.171,7.452,112.226,-86.309,0.417,6.609,117.000,349.000,93.691,0.000,0.000,0.000,NaN,6.609
98,1.584,45.227,9.851,90.000,-55.840,0.384,7.200,68.000,175.000,124.160,4.441E-16,0.000,0.000,NaN,7.200
99,1.856,57.260,26.097,92.000,-77.005,0.322,8.516,71.000,267.000,102.995,0.000,0.000,0.000,NaN,8.516
100,1.539,61.613,22.366,109.738,-79.380,0.403,6.927,56.000,342.000,100.620,0.000,0.000,0.000,NaN,6.927
101,1.675,63.541,27.000,86.000,-90.000,0.359,7.660,24.000,372.000,90.000,0.000,0.000,0.000,NaN,7.660
102,1.358,44.637,17.948,90.508,-75.964,0.453,6.141,194.000,156.000,104.036,0.000,0.000,0.000,NaN,6.141
103,1.539,63.767,30.727,114.000,-42.510,0.403,6.927,144.000,96.000,137.490,0.000,0.000,0.000,NaN,6.927
104,1.720,27.728,4.421,79.000,-60.642,0.354,7.812,162.000,685.000,119.358,0.000,0.000,0.000,NaN,7.812
105,1.766,45.324,0.875,181.000,-52.524,0.343,8.043,271.000,669.000,127.476,0.000,0.000,0.000,NaN,8.043
106,1.494,58.705,36.547,104.312,-104.470,0.405,6.812,214.000,829.000,75.530,2.220E-16,0.000,0.000,NaN,6.812
107,1.766,47.572,7.842,91.053,-98.973,0.331,8.185,300.000,843.000,81.027,0.000,0.000,0.000,NaN,8.185
108,1.630,64.565,31.971,93.000,-101.634,0.375,7.386,389.000,796.000,78.366,2.220E-16,0.000,0.000,NaN,7.386
