 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
211,1.953,6.910,1.305,15.000,-56.725,0.686,5.981,1033.000,503.500,123.275,4.441E-16,0.000,0.000,NaN,5.981
212,2.637,18.746,8.556,47.930,-126.431,0.498,8.156,1066.000,550.500,53.569,0.000,0.000,0.000,NaN,8.156
213,2.344,15.704,7.826,27.287,-14.036,0.586,7.087,1142.500,479.500,165.964,0.000,0.000,0.000,NaN,7.087
214,2.441,10.669,6.333,17.000,-12.011,0.544,7.508,1002.500,349.000,167.989,0.000,0.000,0.000,NaN,7.508
215,2.148,17.349,9.944,23.679,-47.911,0.634,6.527,976.500,381.000,132.089,0.000,0.000,0.000,NaN,6.527
216,2.344,14.728,0.194,83.500,-57.339,0.562,7.238,1179.500,591.500,122.661,0.000,0.000,0.000,NaN,7.238
217,2.148,9.631,4.705,18.250,-43.091,0.614,6.633,1000.000,648.000,136.909,0.000,0.000,0.000,NaN,6.633
218,1.758,18.712,12.847,33.618,-18.970,0.790,5.287,1056.500,662.500,161.030,0.000,0.000,0.000,NaN,5.287
219,1.465,6.245,3.500,8.500,-39.289,0.933,4.441,1132.000,672.500,140.711,4.441E-16,0.000,0.000,NaN,4.441
220,2.051,24.215,11.743,60.500,-36.027,0.634,6.376,1228.500,488.500,143.973,0.000,0.000,0.000,NaN,6.376
221,2.344,19.568,8.623,37.889,-13.736,0.562,7.238,985.000,447.500,166.264,0.000,0.000,0.000,NaN,7.238
222,2.930,24.836,11.586,48.500,-8.820,0.438,9.171,1246.500,612.500,171.180,2.220E-16,0.000,0.000,NaN,9.171
